ID_OSM,Tên đường,Loại đường,Bề mặt,Số làn,Độ cao trung bình (m),Ghi chú độ cao,One way,Tốc độ tối đa
way/32575768,Đường số 27,residential,asphalt,2,8.92,12 samples,,
way/32575924,Hẻm 346 Phan Văn Trị,residential,asphalt,,8.29,14 samples,,
way/32576099,Nguyễn Văn Lượng,tertiary,asphalt,2,16.38,8 samples,yes,
way/32576350,Đường số 18,residential,asphalt,2,14.25,12 samples,,
way/32576351,Hẻm 226/43 Nguyễn Văn Lượng,residential,asphalt,,15.12,8 samples,,40
way/32576851,Hẻm 405 Thống Nhất,residential,asphalt,2,15.89,9 samples,,
way/32577242,An Nhơn,residential,asphalt,2,16.1,10 samples,,
way/32577267,Hẻm 214/50 Nguyễn Oanh,residential,,,16.33,3 samples,,
way/32577402,Hẻm 350/37 Nguyễn Văn Lượng,residential,,,15.0,4 samples,,
way/32577581,Đường số 6,residential,asphalt,,14.17,6 samples,,
way/32577605,Hẻm 113 Lê Đức Thọ,residential,asphalt,2,16.17,12 samples,,
way/32577617,Không tên,residential,,,16.0,3 samples,,
way/32577619,Không tên,residential,,,13.0,3 samples,,
way/32577626,Đường số 30,residential,asphalt,2,9.2,10 samples,,
way/32577919,Nguyễn Oanh,primary,asphalt,2,9.18,11 samples,yes,
way/32578335,Lê Văn Thọ,secondary,asphalt,2,11.5,10 samples,,
way/32578443,Hẻm 662 Phan Văn Trị,residential,asphalt,,15.5,6 samples,,
way/32578607,Hẻm 496 Dương Quảng Hàm,residential,asphalt,2,7.4,10 samples,,
way/32578676,Hẻm 496 Dương Quảng Hàm,residential,asphalt,2,7.0,9 samples,,
way/32578889,Không tên,residential,asphalt,,16.5,2 samples,,
way/32578899,Hẻm 29/11 Lê Đức Thọ,residential,asphalt,,17.2,5 samples,,
way/32578914,Hẻm 29  Lê Đức Thọ,residential,asphalt,2,16.5,10 samples,,
way/32579407,Thống Nhất,residential,asphalt,2,16.6,10 samples,,
way/32579832,Thông Tây Hội,residential,asphalt,,16.8,10 samples,,
way/32579836,Hẻm 40 Lê Thị Hồng,residential,,,18.67,3 samples,,
way/32580074,Đường số 4,residential,asphalt,2,11.0,11 samples,,40
way/32580214,Hẻm 108 Nguyễn Văn Khối,residential,,,14.0,5 samples,,
way/32580247,Hẻm 28 Lê Văn Thọ,residential,asphalt,,15.5,2 samples,,
way/32580348,Hẻm 590/2 Phan Văn Trị,residential,,,17.71,7 samples,,
way/32580475,Không tên,residential,,,15.0,2 samples,,
way/32580480,Hẻm 209 Nguyễn Văn Lượng,residential,,,13.5,2 samples,,
way/32580731,Hẻm 145/51 Lê Đức Thọ,residential,,,18.67,3 samples,,
way/32580732,Hẻm 50 Lê Thị Hồng,residential,,,19.0,3 samples,,
way/32580734,Lê Thị Hồng,residential,asphalt,,16.15,13 samples,,
way/32581192,Đường số 9,residential,asphalt,2,15.1,10 samples,,
way/32581200,Hẻm 145 Lê Đức Thọ,residential,asphalt,2,17.5,4 samples,,
way/32581342,Lê Hoàng Phái,tertiary,asphalt,2,15.21,14 samples,,
way/32581667,Hẻm 162 Đường số 10,residential,,,14.25,4 samples,,
way/32581777,Hẻm 496/56 Dương Quảng Hàm,residential,,,6.5,2 samples,,
way/32581895,Hẻm 57 Lê Đức Thọ,residential,asphalt,2,16.0,5 samples,,
way/32581968,Hẻm 170 Lê Đức Thọ,residential,asphalt,2,11.5,4 samples,,
way/32582226,Nguyễn Văn Khối,tertiary,asphalt,2,11.62,8 samples,,
way/32582257,Đường Số 20,residential,asphalt,,8.5,10 samples,,
way/32582490,Đường số 2,residential,asphalt,,12.33,9 samples,,
way/32582633,Hẻm 468 Đường Phan Văn Trị,residential,asphalt,2,10.22,9 samples,,
way/32582870,Hẻm 688 Quang Trung,residential,asphalt,,14.78,9 samples,,
way/32582963,Hẻm 209 Nguyễn Văn Lượng,residential,asphalt,,17.0,6 samples,,
way/32583032,Hẻm 28 Phạm Huy Thông,residential,,,14.0,2 samples,,
way/32583066,Hẻm 317 Thống Nhất,residential,asphalt,2,14.58,12 samples,,
